GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000003203,0.995,0.326,1.36,0.983,0.412,0.222
ENSDARG00000003205,0.799,0.0842,0.188,0.186,0.0129,0.0371
ENSDARG00000003206,6.47,0.377,1.06,4.15,0.254,0.181
ENSDARG00000003207,7.23,0.528,0.461,3.29,0.249,0.09
ENSDARG00000003208,0.577,0.165,0.158,0.1,0.0348,0.0324
ENSDARG00000003210,0.0742,0.0419,0.55,0.0788,0.108,0.119
ENSDARG00000003213,1.75,0.047,0.337,0.801,0.0127,0.0625
ENSDARG00000003216,1.89,0.0287,1.14,0.736,0.0215,0.191
ENSDARG00000003217,0.205,0.0516,0.587,0.132,0.0164,0.101
ENSDARG00000003219,1.18,0.0967,0.881,0.709,0.091,0.146
ENSDARG00000003229,0.00325,0.208,0.741,0.00402,0.0525,0.122
ENSDARG00000003235,0.477,0.0371,0.499,0.381,0.0169,0.09
ENSDARG00000003244,0.172,0.0703,0.872,0.167,0.0506,0.142
ENSDARG00000003250,0.159,0.278,0.796,0.104,0.0861,0.133
ENSDARG00000003251,0.893,0.217,0.925,0.817,0.184,0.159
ENSDARG00000003257,0.921,0.185,0.279,0.298,0.0687,0.0529
ENSDARG00000003259,0.0921,0.0485,0.61,0.0984,0.113,0.13
ENSDARG00000003269,19.9,0.666,0.401,9.86,0.336,0.0845
ENSDARG00000003270,1.82,0.094,0.732,1.81,0.0761,0.119
ENSDARG00000003281,2.17,0.148,0.615,0.873,0.0782,0.106
ENSDARG00000003287,10.7,0.313,0.818,5.87,0.175,0.151
ENSDARG00000003290,0.0415,0.00824,0.158,0.0061,0.00432,0.0367
ENSDARG00000003293,0.726,0.0202,0.435,0.13,0.00915,0.0793
ENSDARG00000003307,7.66,0.528,0.49,4.29,0.3,0.099
ENSDARG00000003308,11.8,0.152,0.405,6.02,0.0898,0.0731
ENSDARG00000003311,0.927,0.0556,0.481,0.777,0.0639,0.0926
ENSDARG00000003313,1.17,0.225,1.13,0.644,0.135,0.184
ENSDARG00000003320,2.33,0.23,0.581,2.02,0.206,0.101
ENSDARG00000003326,0.101,0.101,0.485,0.113,0.17,0.0986
ENSDARG00000003328,0.309,0.105,0.7,0.224,0.0597,0.116
ENSDARG00000003373,8.29,0.239,0.423,2.03,0.0697,0.0761
ENSDARG00000003375,0.971,0.0418,0.477,0.207,0.016,0.0839
ENSDARG00000003380,0.0682,0.204,0.306,0.0548,0.192,0.0567
ENSDARG00000003381,0.559,0.355,0.691,0.268,0.112,0.118
ENSDARG00000003382,1.78,0.0802,0.258,0.515,0.0148,0.0485
ENSDARG00000003383,3.77,0.407,0.947,1.63,0.119,0.156
ENSDARG00000003395,0.201,0.117,0.575,0.152,0.112,0.097
ENSDARG00000003398,0.396,0.0528,0.461,0.236,0.0178,0.0824
ENSDARG00000003399,2.01,0.169,1.2,0.946,0.0906,0.197
ENSDARG00000003403,0.0857,0.0177,0.386,0.0393,0.0235,0.0816
ENSDARG00000003411,2.05,0.147,0.958,0.837,0.0727,0.155
ENSDARG00000003414,0.0782,0.0477,0.289,0.0218,0.0199,0.0546
ENSDARG00000003420,0.131,0.0176,0.332,0.0328,0.0102,0.0648
ENSDARG00000003421,1.24,0.478,0.64,0.496,0.136,0.109
ENSDARG00000003429,107.0,0.42,0.215,37.0,0.155,0.0438
ENSDARG00000003444,0.771,0.0455,0.411,0.164,0.0177,0.0741
ENSDARG00000003446,0.599,0.0943,0.499,0.341,0.0395,0.0866
ENSDARG00000003449,0.266,0.189,0.736,0.257,0.163,0.122
ENSDARG00000003462,0.137,0.131,0.659,0.0929,0.0478,0.111
ENSDARG00000003469,0.936,0.0298,1.1,0.364,0.021,0.182
ENSDARG00000003475,0.0335,0.0111,0.276,0.00979,0.0154,0.0624
ENSDARG00000003486,6.24,0.125,0.255,1.71,0.0234,0.0484
ENSDARG00000003487,0.406,0.0231,0.185,0.201,0.00516,0.0392
ENSDARG00000003495,2.28,0.121,0.752,1.53,0.116,0.123
ENSDARG00000003512,0.258,0.0108,0.465,0.0613,0.00833,0.0941
ENSDARG00000003517,2.04,0.125,0.423,0.773,0.0669,0.0743
ENSDARG00000003519,6.15,0.407,0.375,2.17,0.161,0.0715
ENSDARG00000003520,0.536,0.154,0.843,0.443,0.116,0.136
ENSDARG00000003523,0.229,0.255,0.598,0.198,0.241,0.102
ENSDARG00000003526,47.3,0.237,0.515,20.2,0.111,0.0931
ENSDARG00000003527,17.9,0.256,0.68,8.14,0.127,0.121
ENSDARG00000003531,2.08,0.0455,0.524,1.26,0.0146,0.0914
ENSDARG00000003533,0.0441,0.0491,0.396,0.0451,0.104,0.0901
ENSDARG00000003544,0.62,0.314,0.586,0.214,0.0498,0.102
ENSDARG00000003564,11.1,0.229,0.715,3.63,0.0888,0.123
ENSDARG00000003570,19.1,0.213,0.819,16.7,0.196,0.135
ENSDARG00000003573,4.63,0.184,0.527,2.43,0.125,0.0914
ENSDARG00000003576,0.0965,0.033,0.482,0.076,0.0547,0.0997
ENSDARG00000003584,3.15,0.388,0.63,1.61,0.189,0.111
ENSDARG00000003592,2.44,0.16,0.276,0.543,0.0436,0.0525
ENSDARG00000003599,192.0,0.0689,0.42,42.5,0.0225,0.0739
ENSDARG00000003607,11.6,0.265,0.57,3.88,0.101,0.101
ENSDARG00000003615,0.214,0.193,0.851,0.225,0.296,0.156
ENSDARG00000003616,1.04,0.098,0.287,0.34,0.0228,0.0532
ENSDARG00000003631,1.62,0.169,0.612,0.868,0.0731,0.102
ENSDARG00000003632,0.061,0.0158,0.384,0.0211,0.0189,0.0807
ENSDARG00000003635,0.766,0.0747,0.409,0.188,0.028,0.0738
ENSDARG00000003641,2.61,0.0351,0.193,1.29,0.0117,0.0394
ENSDARG00000003642,6.58,0.316,0.434,4.73,0.227,0.0821
ENSDARG00000003655,6.82,0.312,0.851,3.5,0.131,0.141
ENSDARG00000003675,4.42,0.362,0.568,2.93,0.252,0.104
ENSDARG00000003680,0.456,0.0282,0.708,0.242,0.0324,0.133
ENSDARG00000003681,5.84,0.035,0.307,5.09,0.0222,0.0598
ENSDARG00000003684,0.233,0.0528,0.631,0.0806,0.0286,0.106
ENSDARG00000003693,1.02,0.024,0.12,0.359,0.00475,0.0263
ENSDARG00000003695,14.9,0.0339,0.447,5.72,0.0221,0.081
ENSDARG00000003697,0.0247,0.01,0.188,0.00596,0.00822,0.0455
ENSDARG00000003699,0.582,0.109,0.526,0.464,0.08,0.0904
ENSDARG00000003701,1.33,0.654,0.748,0.545,0.0613,0.136
ENSDARG00000003705,0.663,0.0222,0.618,0.307,0.0241,0.118
ENSDARG00000003732,0.285,0.0509,0.695,0.11,0.0307,0.115
ENSDARG00000003749,17.8,0.294,0.701,10.6,0.176,0.133
ENSDARG00000003750,5.76,0.265,0.605,2.96,0.142,0.111
ENSDARG00000003751,1.04,0.207,0.465,0.405,0.0611,0.0819
ENSDARG00000003754,1.11,0.0834,0.594,0.976,0.0931,0.104
ENSDARG00000003757,7.96,0.43,0.389,1.76,0.0676,0.0713
ENSDARG00000003769,0.265,0.0612,0.573,0.217,0.036,0.0975
ENSDARG00000003776,2.89,0.378,0.675,1.16,0.118,0.116
ENSDARG00000003779,0.85,0.0411,0.751,0.282,0.0234,0.125
ENSDARG00000003789,11.4,0.371,0.673,7.07,0.229,0.127
ENSDARG00000003795,46.9,0.0564,0.327,6.75,0.0145,0.0606
ENSDARG00000003797,0.108,0.0221,0.535,0.0382,0.019,0.103
ENSDARG00000003803,0.0867,0.0218,0.419,0.0268,0.015,0.08
ENSDARG00000003808,1.92,0.0366,1.1,1.01,0.042,0.195
ENSDARG00000003811,8.57,0.333,0.668,5.97,0.233,0.123
ENSDARG00000003818,2.39,0.175,0.483,2.1,0.166,0.0836
ENSDARG00000003820,0.396,0.0311,0.975,0.305,0.0786,0.199
ENSDARG00000003822,0.756,0.271,0.273,0.227,0.093,0.0526
ENSDARG00000003827,4.5,0.273,0.948,3.23,0.184,0.175
ENSDARG00000003829,2.99,0.168,0.377,1.74,0.0865,0.0676
ENSDARG00000003835,5.34,0.0895,0.517,1.53,0.0363,0.0891
ENSDARG00000003841,0.529,0.133,0.327,0.182,0.0576,0.0602
ENSDARG00000003845,1.63,0.105,0.725,1.53,0.0861,0.12
ENSDARG00000003846,10.4,0.239,0.379,3.66,0.0943,0.0692
ENSDARG00000003854,3.18,0.153,0.448,1.04,0.062,0.0803
ENSDARG00000003860,3.42,0.0456,0.233,0.961,0.00483,0.045
ENSDARG00000003865,1.2,0.477,0.471,0.691,0.281,0.0907
ENSDARG00000003866,21.4,0.273,0.302,9.34,0.126,0.059
ENSDARG00000003867,0.165,0.07,0.323,0.135,0.0713,0.0617
ENSDARG00000003869,11.5,0.557,0.266,2.87,0.121,0.0529
ENSDARG00000003872,3.24,0.297,0.646,1.49,0.115,0.112
ENSDARG00000003877,0.132,0.0332,0.463,0.0779,0.0405,0.0905
ENSDARG00000003899,1.02,0.326,0.597,0.72,0.224,0.113
ENSDARG00000003900,0.0742,0.13,0.319,0.0624,0.104,0.0582
ENSDARG00000003902,1.46,0.371,1.36,1.46,0.475,0.223
ENSDARG00000003903,0.0333,0.0522,0.243,0.0251,0.0694,0.0538
ENSDARG00000003904,0.0215,0.0962,0.932,0.0208,0.0576,0.147
ENSDARG00000003909,0.0591,0.113,0.413,0.0634,0.182,0.0872
ENSDARG00000003910,1.87,0.202,0.335,0.512,0.0378,0.0615
ENSDARG00000003920,18.2,0.048,0.655,21.9,0.0412,0.115
ENSDARG00000003925,0.0859,0.0561,0.277,0.0452,0.0497,0.053
ENSDARG00000003927,1.77,0.093,0.354,1.23,0.048,0.0632
ENSDARG00000003931,6.67,0.19,0.915,6.05,0.166,0.146
ENSDARG00000003934,0.812,0.141,0.634,0.488,0.0688,0.105
ENSDARG00000003938,17.1,0.243,0.602,14.0,0.16,0.114
ENSDARG00000003940,10.7,0.224,0.43,3.75,0.0885,0.0782
ENSDARG00000003941,0.929,0.0392,0.609,1.06,0.0281,0.107
ENSDARG00000003952,61.2,0.202,0.627,53.8,0.184,0.108
ENSDARG00000003961,1.29,0.293,0.526,0.774,0.17,0.0923
ENSDARG00000003963,1.1,0.0713,0.6,0.74,0.0632,0.102
ENSDARG00000003965,0.0798,0.0607,0.335,0.0302,0.0328,0.0611
ENSDARG00000003968,0.0189,0.275,0.907,0.0201,0.0501,0.146
ENSDARG00000003970,0.0598,0.0161,0.403,0.0198,0.0144,0.0822
ENSDARG00000003971,0.671,0.0323,0.775,0.206,0.0189,0.133
ENSDARG00000003973,0.93,0.256,0.463,0.281,0.048,0.0829
ENSDARG00000003974,10.7,0.383,0.579,5.08,0.19,0.11
ENSDARG00000003977,0.222,0.192,0.485,0.203,0.197,0.0838
ENSDARG00000003984,4.01,0.426,0.678,1.85,0.204,0.126
ENSDARG00000003989,0.0341,0.0608,0.28,0.0395,0.124,0.065
ENSDARG00000003991,0.0839,0.0214,0.55,0.0465,0.0384,0.116
ENSDARG00000003994,0.0818,0.0121,0.334,0.0195,0.00886,0.0693
ENSDARG00000003998,0.0501,0.013,0.354,0.0184,0.0165,0.0788
ENSDARG00000004015,0.08,0.0169,0.358,0.033,0.0212,0.0771
ENSDARG00000004017,2.17,0.146,0.978,0.946,0.0804,0.157
ENSDARG00000004018,0.512,0.144,0.633,0.448,0.124,0.107
ENSDARG00000004023,0.724,0.0223,0.801,0.219,0.015,0.14
ENSDARG00000004034,2.37,0.0408,0.36,1.04,0.0258,0.0673
ENSDARG00000004037,0.958,0.0752,0.673,0.952,0.0604,0.113
ENSDARG00000004046,5.05,0.185,0.852,4.22,0.145,0.151
ENSDARG00000004049,14.0,0.206,0.644,7.86,0.118,0.117
ENSDARG00000004051,0.0119,0.0117,0.107,0.00316,0.00973,0.0283
ENSDARG00000004055,2.36,0.457,0.639,1.32,0.266,0.119
ENSDARG00000004059,0.554,0.103,0.563,0.326,0.046,0.0956
ENSDARG00000004060,0.991,0.0193,0.957,0.352,0.016,0.172
ENSDARG00000004074,0.231,0.0285,0.463,0.0781,0.0181,0.0864
ENSDARG00000004078,3.71,0.16,0.494,2.98,0.127,0.0871
ENSDARG00000004082,0.333,0.0281,0.837,0.117,0.0204,0.143
ENSDARG00000004094,6.59,0.201,0.403,4.2,0.134,0.0726
ENSDARG00000004105,0.134,0.0212,0.314,0.0273,0.00978,0.0602
ENSDARG00000004114,1.47,0.316,0.451,0.576,0.135,0.0851
ENSDARG00000004115,1.43,0.203,0.723,0.709,0.0769,0.12
ENSDARG00000004130,1.78,0.672,0.45,0.434,0.093,0.0833
ENSDARG00000004131,0.734,0.317,0.576,0.297,0.0798,0.106
ENSDARG00000004132,4.11,0.141,0.186,0.691,0.017,0.0373
ENSDARG00000004141,0.228,0.0111,0.445,0.0527,0.0083,0.0932
ENSDARG00000004150,0.0695,0.0131,0.359,0.0258,0.0194,0.0768
ENSDARG00000004151,3.67,0.427,0.719,2.11,0.25,0.134
ENSDARG00000004154,0.69,0.195,0.279,0.149,0.0249,0.0525
ENSDARG00000004158,0.0459,0.012,0.296,0.0118,0.00902,0.0638
ENSDARG00000004160,2.44,0.089,0.159,0.384,0.00835,0.0324
ENSDARG00000004161,37.7,0.481,0.409,12.4,0.171,0.0789
ENSDARG00000004167,2.98,0.502,0.47,1.14,0.166,0.0886
ENSDARG00000004169,75.2,0.341,0.554,36.0,0.178,0.105
ENSDARG00000004171,16.0,0.342,0.562,9.06,0.197,0.106
ENSDARG00000004173,5.6,0.0829,0.267,5.54,0.078,0.0501
ENSDARG00000004174,18.7,0.198,0.52,13.5,0.138,0.0972
ENSDARG00000004176,0.437,0.267,0.343,0.163,0.0735,0.0647
ENSDARG00000004177,0.711,0.208,0.717,0.281,0.0449,0.119
ENSDARG00000004184,0.213,0.106,0.432,0.164,0.071,0.0763
ENSDARG00000004187,1.16,0.302,1.04,1.09,0.332,0.168
ENSDARG00000004189,2.94,0.0677,0.341,0.933,0.0116,0.0614
ENSDARG00000004196,0.549,0.0373,0.555,0.143,0.0182,0.0971
ENSDARG00000004199,0.123,0.0422,0.58,0.0537,0.0347,0.102
ENSDARG00000004204,0.0939,0.0852,0.239,0.0285,0.0338,0.0451
ENSDARG00000004211,6.11,0.374,0.674,2.79,0.154,0.121
ENSDARG00000004218,2.82,0.141,0.986,1.15,0.0725,0.16
ENSDARG00000004219,0.0456,0.0191,0.318,0.0359,0.0466,0.0726
ENSDARG00000004227,0.0648,0.0331,0.339,0.0407,0.0374,0.0695
ENSDARG00000004232,1.17,0.0476,1.06,0.437,0.0278,0.17
ENSDARG00000004243,0.0211,0.0284,0.186,0.015,0.0448,0.0458
ENSDARG00000004246,0.446,0.0296,0.579,0.121,0.0158,0.1
ENSDARG00000004251,3.89,0.121,0.677,3.7,0.102,0.114
ENSDARG00000004256,0.769,0.148,1.72,0.587,0.0999,0.3
ENSDARG00000004260,0.0858,0.2,0.442,0.0765,0.18,0.0776
ENSDARG00000004261,14.1,0.171,0.424,8.15,0.0815,0.0778
ENSDARG00000004262,0.0365,0.00851,0.202,0.0074,0.00675,0.0476
ENSDARG00000004270,5.67,0.463,0.456,1.33,0.0728,0.0819
ENSDARG00000004274,3.73,0.536,0.422,2.0,0.294,0.0883
ENSDARG00000004280,5.81,0.144,0.505,4.93,0.115,0.0882
ENSDARG00000004282,0.244,0.0348,0.397,0.0688,0.0187,0.0732
ENSDARG00000004291,0.0916,0.0547,0.389,0.0909,0.0878,0.0767
ENSDARG00000004296,1.05,0.0204,0.995,0.38,0.0164,0.18
ENSDARG00000004297,12.0,0.281,0.486,4.44,0.123,0.0876
ENSDARG00000004301,0.192,0.0252,0.376,0.0458,0.0121,0.0698
ENSDARG00000004302,0.0786,0.00895,0.198,0.0125,0.00482,0.044
ENSDARG00000004305,0.193,0.0365,0.536,0.148,0.054,0.105
ENSDARG00000004306,1.11,0.261,0.676,0.468,0.0757,0.117
ENSDARG00000004307,0.467,0.042,0.371,0.103,0.0157,0.0677
ENSDARG00000004308,5.95,0.566,0.458,2.55,0.254,0.0909
ENSDARG00000004311,4.54,0.395,0.419,1.3,0.0878,0.0769
ENSDARG00000004318,0.545,0.0457,0.52,0.22,0.0292,0.0923
ENSDARG00000004322,0.0561,0.0949,0.301,0.0581,0.135,0.0615
ENSDARG00000004325,1.96,0.263,0.468,0.634,0.0617,0.0815
ENSDARG00000004328,0.719,0.107,1.38,0.417,0.0641,0.236
ENSDARG00000004336,1.27,0.153,0.294,0.734,0.0823,0.0549
ENSDARG00000004343,1.93,0.0898,0.197,0.354,0.00889,0.039
ENSDARG00000004358,0.37,0.101,1.09,0.417,0.195,0.212
ENSDARG00000004363,1.02,0.0645,0.611,0.29,0.0283,0.103
ENSDARG00000004372,0.604,0.0615,0.628,0.184,0.0289,0.106
ENSDARG00000004377,0.778,0.055,0.747,0.479,0.0551,0.13
ENSDARG00000004378,0.285,0.0354,0.529,0.0776,0.018,0.0928
ENSDARG00000004386,0.214,0.0147,0.563,0.0585,0.0107,0.108
ENSDARG00000004392,5.35,0.71,0.453,1.23,0.11,0.0821
ENSDARG00000004396,0.357,0.0827,0.86,0.308,0.053,0.14
ENSDARG00000004402,0.862,0.0398,0.534,0.236,0.0201,0.0936
ENSDARG00000004405,0.759,0.287,0.659,0.281,0.053,0.114
ENSDARG00000004406,0.486,0.076,0.382,0.132,0.0285,0.0674
ENSDARG00000004415,0.964,0.017,0.698,0.244,0.0104,0.127
ENSDARG00000004427,6.49,0.0661,0.397,4.07,0.0255,0.0702
ENSDARG00000004433,0.0675,0.0876,0.363,0.0495,0.043,0.0645
ENSDARG00000004436,7.42,0.288,0.636,4.21,0.165,0.12
ENSDARG00000004445,0.042,0.0439,0.37,0.042,0.0944,0.0863
ENSDARG00000004447,0.551,0.15,0.721,0.28,0.0902,0.122
ENSDARG00000004451,0.493,0.0593,0.489,0.354,0.0593,0.0877
ENSDARG00000004452,17.9,0.0997,0.527,15.4,0.0797,0.0902
ENSDARG00000004455,0.178,0.0389,0.604,0.0599,0.0233,0.104
ENSDARG00000004459,0.0847,0.135,0.357,0.0832,0.16,0.0678
ENSDARG00000004460,7.83,0.382,0.487,1.85,0.0501,0.0874
ENSDARG00000004470,16.3,0.431,0.5,5.45,0.122,0.0937
ENSDARG00000004472,0.351,0.0305,0.452,0.124,0.0207,0.0832
ENSDARG00000004473,0.0326,0.0132,0.239,0.0116,0.0181,0.0552
ENSDARG00000004492,1.09,0.0998,0.712,1.05,0.0817,0.115
ENSDARG00000004497,0.395,0.0362,0.612,0.153,0.0258,0.109
ENSDARG00000004498,0.0238,0.0535,0.226,0.0174,0.0724,0.0478
ENSDARG00000004502,0.489,0.177,0.552,0.329,0.11,0.0924
ENSDARG00000004517,13.0,0.395,0.663,5.04,0.165,0.122
ENSDARG00000004525,0.344,0.0709,0.245,0.0801,0.00733,0.0473
ENSDARG00000004527,5.75,0.126,0.451,1.41,0.0406,0.0795
ENSDARG00000004529,0.925,0.506,0.604,0.314,0.0437,0.108
ENSDARG00000004537,1.04,0.177,0.535,0.926,0.155,0.0934
ENSDARG00000004539,1.59,0.0838,0.732,0.536,0.043,0.121
ENSDARG00000004574,0.532,0.219,0.748,0.308,0.0832,0.128
ENSDARG00000004576,3.84,0.264,0.686,2.19,0.152,0.128
ENSDARG00000004577,0.145,0.0123,0.448,0.0345,0.00818,0.0891
ENSDARG00000004580,0.272,0.0149,0.694,0.0853,0.0122,0.13
ENSDARG00000004581,1.23,0.0904,0.534,0.845,0.0506,0.0905
ENSDARG00000004586,0.0201,0.0196,0.122,0.00515,0.0107,0.0285
ENSDARG00000004587,5.85,0.214,0.342,1.23,0.0555,0.0621
ENSDARG00000004588,1.59,0.0162,0.748,0.415,0.0103,0.134
ENSDARG00000004592,0.0518,0.0109,0.25,0.0104,0.00647,0.0528
ENSDARG00000004594,0.402,0.0449,0.673,0.349,0.0233,0.114
ENSDARG00000004597,0.0706,0.101,0.356,0.0458,0.0913,0.0651
ENSDARG00000004616,7.05,0.532,0.255,2.51,0.203,0.0532
ENSDARG00000004618,0.19,0.0306,0.195,0.0468,0.0119,0.0396
ENSDARG00000004621,1.27,0.0156,0.917,0.425,0.0131,0.171
ENSDARG00000004627,0.15,0.19,0.592,0.159,0.241,0.103
ENSDARG00000004632,2.44,0.13,0.732,2.28,0.114,0.123
ENSDARG00000004633,0.0214,0.0112,0.195,0.00671,0.013,0.0473
ENSDARG00000004634,16.8,0.515,0.779,8.72,0.273,0.145
ENSDARG00000004635,0.355,0.0574,0.59,0.112,0.0287,0.0995
ENSDARG00000004636,1.13,0.106,0.3,0.261,0.013,0.0548
ENSDARG00000004643,0.246,0.18,0.652,0.244,0.226,0.116
ENSDARG00000004647,0.8,0.302,0.392,0.208,0.0353,0.0729
ENSDARG00000004648,0.0182,0.0155,0.199,0.00917,0.0327,0.0505
ENSDARG00000004658,0.507,0.0237,0.868,0.174,0.0165,0.151
ENSDARG00000004672,3.17,0.146,0.863,2.6,0.127,0.139
ENSDARG00000004680,9.14,0.239,0.306,1.8,0.0331,0.0571
ENSDARG00000004687,3.45,0.25,0.669,2.72,0.205,0.115
ENSDARG00000004692,2.86,0.072,0.734,3.15,0.0644,0.122
ENSDARG00000004695,0.909,0.0907,0.708,0.303,0.0428,0.118
ENSDARG00000004696,3.07,0.359,0.523,1.42,0.183,0.0958
ENSDARG00000004697,0.487,0.0482,0.551,0.156,0.0275,0.0953
ENSDARG00000004702,3.5,0.075,0.494,3.16,0.0818,0.0883
ENSDARG00000004706,55.7,0.451,0.585,30.4,0.246,0.115
ENSDARG00000004712,0.185,0.042,0.494,0.0667,0.0271,0.0883
ENSDARG00000004713,1.29,0.0305,0.672,1.32,0.0148,0.118
ENSDARG00000004714,1.08,0.028,0.6,0.277,0.0143,0.106
ENSDARG00000004721,0.223,0.269,0.628,0.2,0.242,0.105
ENSDARG00000004724,0.507,0.0323,0.592,0.202,0.0249,0.108
ENSDARG00000004726,11.2,0.492,0.587,4.79,0.224,0.112
ENSDARG00000004727,0.299,0.0418,0.308,0.133,0.00899,0.0577
ENSDARG00000004735,2.54,0.04,0.398,1.36,0.00938,0.0737
ENSDARG00000004745,6.11,0.339,1.09,3.52,0.192,0.194
ENSDARG00000004748,1.3,0.0545,0.791,0.502,0.0368,0.132
ENSDARG00000004753,0.251,0.246,0.494,0.172,0.197,0.0867
ENSDARG00000004754,1.69,0.0486,0.338,1.82,0.0438,0.0643
ENSDARG00000004757,379.0,0.152,0.511,198.0,0.0861,0.0898
ENSDARG00000004763,0.0672,0.0311,0.259,0.0166,0.0137,0.05
ENSDARG00000004771,2.19,0.0828,0.358,0.536,0.028,0.0639
ENSDARG00000004774,0.649,0.0386,0.503,0.538,0.0197,0.0904
ENSDARG00000004782,0.531,0.0299,0.735,0.163,0.0176,0.125
ENSDARG00000004785,27.3,0.391,0.231,11.4,0.172,0.0478
ENSDARG00000004794,0.0956,0.114,0.408,0.0848,0.093,0.0717
ENSDARG00000004796,1.47,0.199,0.527,0.866,0.108,0.0916
ENSDARG00000004806,3.69,0.109,0.955,3.93,0.0944,0.156
ENSDARG00000004823,0.0115,0.0902,1.07,0.0124,0.0541,0.17
ENSDARG00000004830,6.13,0.041,0.533,1.26,0.0157,0.0922
ENSDARG00000004836,3.22,0.129,0.512,2.86,0.123,0.0887
ENSDARG00000004840,3.02,0.106,0.561,1.23,0.0534,0.0959
ENSDARG00000004843,7.34,0.284,0.58,3.78,0.133,0.102
ENSDARG00000004851,0.784,0.234,0.62,0.304,0.0526,0.107
ENSDARG00000004861,0.284,0.0337,0.475,0.153,0.0374,0.0932
ENSDARG00000004864,1.64e-08,1.02,0.157,2.07e-08,0.0555,0.0313
ENSDARG00000004866,10.1,0.492,0.625,5.14,0.255,0.119
ENSDARG00000004869,0.102,0.0121,0.427,0.0335,0.0146,0.089
ENSDARG00000004870,4.76,0.15,0.259,2.5,0.0644,0.0494
ENSDARG00000004874,1.86,0.167,1.33,1.64,0.126,0.224
ENSDARG00000004875,11.9,0.417,0.448,2.65,0.061,0.0818
ENSDARG00000004877,1.33,0.115,0.38,0.678,0.0482,0.0684
ENSDARG00000004880,0.455,0.182,0.35,0.154,0.0755,0.0642
ENSDARG00000004889,1.72,0.297,0.31,0.408,0.0466,0.0598
ENSDARG00000004891,14.1,0.432,0.593,5.93,0.199,0.107
ENSDARG00000004898,0.0127,0.109,0.363,0.0144,0.0992,0.0644
ENSDARG00000004904,1.09,0.229,0.874,0.876,0.18,0.139
ENSDARG00000004906,8.94,0.0978,0.578,7.75,0.0796,0.0974
ENSDARG00000004925,1.33,0.168,0.481,0.55,0.0521,0.0828
ENSDARG00000004930,1.67,0.0292,0.664,0.486,0.0177,0.117
ENSDARG00000004931,0.0589,0.0399,0.256,0.0167,0.0183,0.0486
ENSDARG00000004932,0.196,0.0276,0.441,0.0496,0.0139,0.0795
ENSDARG00000004937,0.144,0.0434,0.535,0.0899,0.00697,0.0946
ENSDARG00000004939,4.79,0.157,0.377,3.46,0.112,0.0686
ENSDARG00000004948,3.47,0.14,0.495,0.868,0.0458,0.0861
ENSDARG00000004952,0.121,0.868,0.336,0.0843,0.385,0.0625
ENSDARG00000004953,0.0362,0.111,0.344,0.0339,0.101,0.0611
ENSDARG00000004954,0.0797,0.0715,0.306,0.0671,0.0907,0.0615
ENSDARG00000004956,3.08,0.0412,0.502,3.06,0.0279,0.0894
ENSDARG00000004964,0.575,0.0568,0.95,0.276,0.0461,0.159
ENSDARG00000004979,1.59,0.314,0.629,1.06,0.218,0.115
ENSDARG00000004988,0.314,0.0151,0.696,0.0945,0.012,0.132
ENSDARG00000005002,0.308,0.0797,0.342,0.0793,0.0274,0.0625
ENSDARG00000005004,0.259,0.169,0.516,0.156,0.127,0.0904
ENSDARG00000005010,0.262,0.0732,0.771,0.295,0.061,0.125
ENSDARG00000005015,1.29,0.0773,0.289,0.541,0.0235,0.0533
ENSDARG00000005023,2.78,0.0604,1.25,1.12,0.0358,0.193
ENSDARG00000005026,2.72,0.175,0.5,1.98,0.139,0.0882
ENSDARG00000005034,1.45,0.163,0.614,1.4,0.177,0.102
ENSDARG00000005049,1.92,0.399,0.746,0.743,0.102,0.127
ENSDARG00000005050,0.0187,0.025,0.125,0.00641,0.0175,0.0294
ENSDARG00000005057,3.04,0.193,0.912,1.22,0.0926,0.15
ENSDARG00000005058,3.03,0.16,0.541,1.58,0.0414,0.0951
ENSDARG00000005078,7.24,0.426,0.272,1.1,0.0427,0.0519
ENSDARG00000005085,0.279,0.0097,0.259,0.0357,0.00459,0.0522
ENSDARG00000005092,0.369,0.0858,0.529,0.119,0.0384,0.0912
ENSDARG00000005095,0.623,0.379,0.669,0.303,0.131,0.113
ENSDARG00000005098,4.22,0.262,0.612,1.89,0.0746,0.112
ENSDARG00000005104,7.08,0.391,0.591,3.66,0.212,0.109
ENSDARG00000005108,7.87,0.277,0.41,1.58,0.0305,0.0733
ENSDARG00000005112,0.747,0.0185,0.773,0.253,0.0152,0.142
ENSDARG00000005115,3.99,0.154,0.576,2.23,0.0634,0.101
ENSDARG00000005122,11.9,0.179,0.857,10.5,0.143,0.149
ENSDARG00000005126,0.275,0.108,0.615,0.225,0.0751,0.104
ENSDARG00000005128,4.36,0.104,0.733,2.59,0.0676,0.123
ENSDARG00000005134,12.9,0.288,0.426,3.79,0.0978,0.0785
ENSDARG00000005139,0.338,0.0221,0.812,0.124,0.0186,0.149
ENSDARG00000005141,0.0671,0.016,0.44,0.0309,0.0318,0.0943
ENSDARG00000005150,0.263,0.168,0.394,0.151,0.118,0.0705
ENSDARG00000005154,0.228,0.132,0.659,0.151,0.0601,0.112
ENSDARG00000005159,0.167,0.00907,0.333,0.0279,0.00536,0.0679
