GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000002128,0.927,0.0836,0.2,0.184,0.00807,0.0397
ENSDARG00000002131,0.91,0.0324,0.807,0.387,0.03,0.141
ENSDARG00000002165,0.557,0.174,0.689,0.287,0.055,0.115
ENSDARG00000002167,1.75,0.231,0.538,1.1,0.141,0.0925
ENSDARG00000002168,2.94,0.0607,0.189,0.673,0.00846,0.0375
ENSDARG00000002172,3.69,0.154,1.24,1.69,0.0845,0.197
ENSDARG00000002174,1.89,0.262,0.514,1.31,0.197,0.0936
ENSDARG00000002184,10.7,0.32,0.815,7.37,0.214,0.152
ENSDARG00000002190,9.73,0.216,0.246,1.81,0.0294,0.0474
ENSDARG00000002192,0.136,0.0217,0.666,0.0901,0.0471,0.138
ENSDARG00000002193,12.6,0.979,2.4,13.5,1.09,0.389
ENSDARG00000002194,0.0734,0.0499,0.329,0.0236,0.0245,0.0596
ENSDARG00000002196,0.348,0.0679,0.376,0.0893,0.0258,0.0682
ENSDARG00000002197,5.38,0.376,1.13,4.04,0.286,0.183
ENSDARG00000002204,0.37,0.0188,0.776,0.125,0.0156,0.144
ENSDARG00000002210,1.91,0.405,0.423,0.862,0.203,0.0778
ENSDARG00000002213,0.182,0.0953,0.294,0.137,0.0573,0.0534
ENSDARG00000002215,3.01,0.0545,0.839,3.48,0.0463,0.137
ENSDARG00000002216,0.706,0.0592,0.629,0.207,0.0284,0.105
ENSDARG00000002217,2.53,0.0704,0.429,0.514,0.0229,0.0758
ENSDARG00000002219,0.0617,0.036,0.486,0.0538,0.0838,0.108
ENSDARG00000002220,18.6,0.369,0.735,9.6,0.192,0.136
ENSDARG00000002230,0.85,0.0162,0.826,0.308,0.0166,0.161
ENSDARG00000002231,0.453,0.255,0.83,0.407,0.218,0.137
ENSDARG00000002235,0.524,0.0195,0.494,0.134,0.0114,0.0918
ENSDARG00000002240,9.15,0.0779,0.906,3.03,0.037,0.147
ENSDARG00000002241,0.165,0.266,0.454,0.111,0.194,0.0816
ENSDARG00000002249,0.326,0.117,0.599,0.352,0.159,0.111
ENSDARG00000002255,0.816,0.0751,0.543,0.599,0.0847,0.0958
ENSDARG00000002259,0.0324,0.056,0.325,0.0325,0.112,0.075
ENSDARG00000002264,5.32,0.128,0.39,1.14,0.0362,0.0694
ENSDARG00000002267,1.3,0.0432,0.688,1.09,0.0207,0.118
ENSDARG00000002271,6.3,0.0877,0.77,4.08,0.0402,0.125
ENSDARG00000002285,2.44,0.231,0.634,2.21,0.196,0.112
ENSDARG00000002295,0.0144,0.0225,0.166,0.00938,0.0495,0.043
ENSDARG00000002298,0.421,0.137,0.944,0.298,0.0687,0.151
ENSDARG00000002299,0.135,0.0324,0.235,0.0237,0.0104,0.0451
ENSDARG00000002300,0.0442,0.0374,0.37,0.0376,0.0725,0.0832
ENSDARG00000002304,13.3,0.707,0.632,3.74,0.121,0.114
ENSDARG00000002305,12.8,0.55,0.773,4.13,0.112,0.13
ENSDARG00000002311,1.39,0.188,1.49,1.39,0.283,0.247
ENSDARG00000002330,0.453,0.264,0.943,0.251,0.086,0.152
ENSDARG00000002332,6.22,0.452,0.598,2.83,0.211,0.113
ENSDARG00000002333,0.962,0.163,0.703,0.859,0.162,0.116
ENSDARG00000002336,2.31,0.0959,1.11,0.942,0.0537,0.174
ENSDARG00000002339,3.61,0.268,0.707,2.61,0.188,0.13
ENSDARG00000002344,355.0,0.481,0.403,208.0,0.277,0.0842
ENSDARG00000002347,0.024,0.148,0.526,0.0196,0.0151,0.0883
ENSDARG00000002353,0.414,0.225,1.09,0.297,0.15,0.185
ENSDARG00000002355,0.439,0.294,0.468,0.35,0.223,0.0896
ENSDARG00000002362,14.1,0.634,0.456,7.17,0.304,0.0889
ENSDARG00000002365,9.82,0.512,0.209,1.28,0.0461,0.0415
ENSDARG00000002369,11.3,0.0625,0.577,10.8,0.0469,0.0989
ENSDARG00000002377,1.99,0.204,0.422,0.555,0.0376,0.0759
ENSDARG00000002385,0.301,0.113,0.552,0.242,0.0931,0.095
ENSDARG00000002391,0.0787,0.0305,0.534,0.0645,0.0721,0.116
ENSDARG00000002394,0.11,0.102,0.661,0.125,0.187,0.135
ENSDARG00000002396,0.79,0.0757,0.744,0.602,0.0413,0.122
ENSDARG00000002401,10.9,0.298,0.827,6.91,0.189,0.15
ENSDARG00000002402,9.3,0.503,0.428,3.48,0.198,0.0838
ENSDARG00000002403,2.17,0.0362,0.656,2.47,0.0254,0.114
ENSDARG00000002405,0.214,0.0489,0.392,0.0633,0.0236,0.0695
ENSDARG00000002406,0.233,0.266,0.61,0.189,0.206,0.113
ENSDARG00000002411,0.077,0.0365,0.236,0.0212,0.0173,0.0466
ENSDARG00000002445,1.29,0.109,0.989,0.539,0.0585,0.159
ENSDARG00000002463,0.179,0.0895,0.501,0.0888,0.0217,0.0876
ENSDARG00000002467,1.07,0.0894,0.624,0.897,0.0621,0.104
ENSDARG00000002479,2.02,0.117,1.01,1.99,0.0978,0.169
ENSDARG00000002483,0.118,0.0967,0.383,0.0535,0.0601,0.0685
ENSDARG00000002487,6.03,0.178,0.817,2.09,0.0732,0.136
ENSDARG00000002494,0.499,0.127,0.747,0.42,0.126,0.122
ENSDARG00000002506,5.87,0.16,0.315,2.08,0.0426,0.0595
ENSDARG00000002507,0.137,0.0342,0.354,0.0446,0.021,0.0667
ENSDARG00000002508,0.0469,0.102,0.272,0.0362,0.111,0.0532
ENSDARG00000002509,0.236,0.113,0.934,0.244,0.0896,0.147
ENSDARG00000002510,0.151,0.0689,0.417,0.0507,0.0318,0.0742
ENSDARG00000002523,32.2,0.487,0.19,9.09,0.125,0.0395
ENSDARG00000002533,0.121,0.101,0.271,0.0423,0.0466,0.0514
ENSDARG00000002536,1.58,0.0759,0.406,0.615,0.017,0.0715
ENSDARG00000002538,2.33,0.0808,0.256,0.609,0.0111,0.0482
ENSDARG00000002546,1.69,0.222,0.991,1.15,0.135,0.157
ENSDARG00000002549,0.99,0.122,0.573,0.544,0.051,0.0957
ENSDARG00000002552,1.04,0.0508,0.344,0.447,0.0119,0.0622
ENSDARG00000002564,0.504,0.0378,0.838,0.37,0.0586,0.158
ENSDARG00000002571,4.36,0.475,0.466,2.48,0.274,0.0922
ENSDARG00000002576,0.141,0.124,0.5,0.119,0.147,0.0907
ENSDARG00000002582,0.233,0.0217,0.424,0.0568,0.0113,0.0776
ENSDARG00000002587,0.972,0.017,0.817,0.276,0.0115,0.147
ENSDARG00000002589,28.0,0.122,2.3,31.6,0.225,0.398
ENSDARG00000002591,3.45,0.0927,0.347,1.32,0.0183,0.0629
ENSDARG00000002593,0.339,0.0236,0.807,0.121,0.0186,0.144
ENSDARG00000002597,0.0282,0.304,0.706,0.0275,0.0391,0.117
ENSDARG00000002600,0.0872,0.0255,0.541,0.0647,0.0595,0.119
ENSDARG00000002601,3.58,0.194,1.4,1.85,0.108,0.229
ENSDARG00000002607,0.0588,0.0172,0.335,0.0256,0.0233,0.0699
ENSDARG00000002609,1.86,0.281,0.477,0.867,0.15,0.087
ENSDARG00000002613,6.52,0.138,0.493,3.65,0.0457,0.0847
ENSDARG00000002632,17.6,0.22,0.336,7.2,0.108,0.0611
ENSDARG00000002634,1.02,0.113,0.708,0.392,0.0607,0.117
ENSDARG00000002635,0.0769,0.0168,0.496,0.0359,0.0304,0.108
ENSDARG00000002642,1.48,0.109,0.294,1.17,0.0779,0.0544
ENSDARG00000002644,0.277,0.0355,0.675,0.158,0.0479,0.134
ENSDARG00000002656,0.115,0.0248,0.49,0.083,0.05,0.103
ENSDARG00000002659,24.8,0.141,0.744,23.2,0.12,0.127
ENSDARG00000002663,0.99,0.128,0.722,0.789,0.122,0.119
ENSDARG00000002666,0.219,0.0936,0.68,0.146,0.0411,0.113
ENSDARG00000002670,4.04,0.307,0.249,0.718,0.0385,0.0488
ENSDARG00000002682,2.71,0.388,0.678,1.82,0.276,0.121
ENSDARG00000002685,0.0151,0.463,0.563,0.0171,0.038,0.0977
ENSDARG00000002690,5.47,0.235,0.356,3.44,0.156,0.0671
ENSDARG00000002696,6.69,0.812,1.99,6.15,0.818,0.31
ENSDARG00000002701,0.0644,0.0295,0.315,0.0304,0.0302,0.0652
ENSDARG00000002707,0.0421,0.0664,1.62,0.0707,0.0693,0.254
ENSDARG00000002710,186.0,0.273,0.952,99.4,0.149,0.169
ENSDARG00000002720,8.54,0.222,0.855,5.29,0.135,0.152
ENSDARG00000002731,9.0,0.16,0.339,3.43,0.0764,0.0618
ENSDARG00000002732,0.152,0.0203,0.634,0.0992,0.0422,0.129
ENSDARG00000002745,27.6,0.303,0.45,10.2,0.132,0.0813
ENSDARG00000002748,1.26,0.156,0.523,1.11,0.132,0.0906
ENSDARG00000002750,2.51,0.435,0.455,1.42,0.249,0.0919
ENSDARG00000002754,3.08,0.353,0.563,2.65,0.283,0.112
ENSDARG00000002758,11.8,0.242,0.528,8.86,0.186,0.0912
ENSDARG00000002760,0.174,0.24,0.715,0.126,0.13,0.119
ENSDARG00000002764,0.189,0.0158,0.64,0.061,0.0139,0.126
ENSDARG00000002768,134.0,0.219,2.73,167.0,0.399,0.471
ENSDARG00000002771,0.0663,0.0941,0.429,0.0686,0.158,0.0891
ENSDARG00000002779,0.996,0.306,0.604,0.765,0.23,0.108
ENSDARG00000002787,5.38,0.174,0.49,3.43,0.089,0.0868
ENSDARG00000002790,13.9,0.0812,0.319,2.08,0.0191,0.0585
ENSDARG00000002791,28.5,0.127,0.418,25.3,0.105,0.0723
ENSDARG00000002792,3.09,0.0759,0.66,3.26,0.0646,0.111
ENSDARG00000002795,1.86,0.066,0.935,0.646,0.0339,0.151
ENSDARG00000002798,2.59,0.249,0.612,2.11,0.194,0.111
ENSDARG00000002816,0.0193,0.0702,0.207,0.0218,0.135,0.0516
ENSDARG00000002826,2.78,0.246,0.592,1.38,0.0844,0.108
ENSDARG00000002830,0.497,0.0898,0.725,0.381,0.0465,0.119
ENSDARG00000002831,0.125,0.0887,0.457,0.0888,0.0783,0.0805
ENSDARG00000002840,0.622,0.0412,0.471,0.45,0.0502,0.088
ENSDARG00000002847,0.0951,0.0783,0.373,0.0909,0.0987,0.0724
ENSDARG00000002872,0.694,0.12,0.319,0.6,0.0998,0.0581
ENSDARG00000002877,1.04,0.113,0.547,0.584,0.0475,0.0933
ENSDARG00000002880,0.944,0.131,0.805,0.808,0.126,0.132
ENSDARG00000002894,2.17,0.13,0.722,2.09,0.112,0.122
ENSDARG00000002897,0.833,0.218,0.423,0.504,0.159,0.0745
ENSDARG00000002909,4.14,0.205,0.438,1.07,0.0314,0.0787
ENSDARG00000002912,4.16,0.186,0.538,2.19,0.0831,0.091
ENSDARG00000002916,2.42,0.237,0.785,2.02,0.184,0.139
ENSDARG00000002917,0.0636,0.0186,0.421,0.0351,0.0361,0.0923
ENSDARG00000002933,0.724,0.0712,0.75,0.288,0.0428,0.124
ENSDARG00000002937,2.23,0.0531,0.71,0.724,0.0272,0.118
ENSDARG00000002945,0.482,0.222,0.579,0.386,0.18,0.0974
ENSDARG00000002947,1.77,0.297,0.48,1.32,0.222,0.089
