ensembl_gene_id,supercluster,subcluster
ENSDARG00000003512,1,1
ENSDARG00000003517,1,0
ENSDARG00000003519,0,0
ENSDARG00000003520,2,1
ENSDARG00000003523,3,0
ENSDARG00000003526,0,0
ENSDARG00000003527,0,0
ENSDARG00000003531,0,1
ENSDARG00000003531,0,2
ENSDARG00000003533,3,0
ENSDARG00000003544,2,1
ENSDARG00000003564,0,0
ENSDARG00000003570,1,0
ENSDARG00000003573,1,0
ENSDARG00000003576,3,1
ENSDARG00000003584,3,1
ENSDARG00000003592,1,1
ENSDARG00000003592,1,1
ENSDARG00000003599,1,1
ENSDARG00000003599,1,1
ENSDARG00000003607,0,0
ENSDARG00000003615,3,0
ENSDARG00000003616,2,1
ENSDARG00000003631,2,1
ENSDARG00000003632,3,0
ENSDARG00000003635,1,1
ENSDARG00000003635,1,1
ENSDARG00000003642,2,0
ENSDARG00000003642,2,2
ENSDARG00000003655,3,1
ENSDARG00000003675,1,0
ENSDARG00000003675,1,2
ENSDARG00000003680,3,1
ENSDARG00000003681,0,0
ENSDARG00000003681,0,0
ENSDARG00000003684,1,1
ENSDARG00000003684,1,1
ENSDARG00000003693,0,1
ENSDARG00000003695,1,0
ENSDARG00000003697,3,0
ENSDARG00000003699,2,1
ENSDARG00000003699,2,1
ENSDARG00000003701,2,1
ENSDARG00000003705,3,1
ENSDARG00000003732,1,0
ENSDARG00000003732,1,2
ENSDARG00000003749,0,0
ENSDARG00000003750,0,0
ENSDARG00000003751,2,1
ENSDARG00000003754,3,1
ENSDARG00000003757,2,1
ENSDARG00000003769,2,1
ENSDARG00000003769,2,1
ENSDARG00000003779,1,1
ENSDARG00000003779,1,0
ENSDARG00000003789,2,0
ENSDARG00000003789,2,2
ENSDARG00000003795,1,1
ENSDARG00000003795,1,1
ENSDARG00000003797,1,1
ENSDARG00000003803,3,0
ENSDARG00000003808,1,1
ENSDARG00000003808,1,1
ENSDARG00000003811,2,0
ENSDARG00000003811,2,2
ENSDARG00000003818,1,1
ENSDARG00000003818,1,0
ENSDARG00000003820,3,0
ENSDARG00000003827,0,1
ENSDARG00000003827,0,2
ENSDARG00000003829,0,1
ENSDARG00000003829,0,1
ENSDARG00000003841,1,1
ENSDARG00000003841,1,1
ENSDARG00000003845,2,0
ENSDARG00000003846,1,1
ENSDARG00000003846,1,1
ENSDARG00000003854,1,1
ENSDARG00000003854,1,1
ENSDARG00000003860,0,1
ENSDARG00000003865,2,0
ENSDARG00000003867,3,1
ENSDARG00000003869,2,1
ENSDARG00000003877,3,1
ENSDARG00000003899,2,0
ENSDARG00000003899,2,2
ENSDARG00000003900,2,1
ENSDARG00000003900,2,1
ENSDARG00000003903,3,0
ENSDARG00000003904,2,1
ENSDARG00000003909,3,0
ENSDARG00000003910,2,1
ENSDARG00000003920,0,0
ENSDARG00000003925,3,1
ENSDARG00000003931,2,0
ENSDARG00000003931,2,0
ENSDARG00000003934,2,1
ENSDARG00000003938,0,1
ENSDARG00000003941,0,0
ENSDARG00000003952,3,1
ENSDARG00000003961,3,1
ENSDARG00000003963,1,0
ENSDARG00000003963,1,0
ENSDARG00000003965,1,0
ENSDARG00000003968,2,1
ENSDARG00000003970,3,0
ENSDARG00000003971,1,1
ENSDARG00000003971,1,0
ENSDARG00000003973,2,1
ENSDARG00000003974,0,0
ENSDARG00000003977,3,1
ENSDARG00000003984,0,0
ENSDARG00000003984,0,0
ENSDARG00000003989,3,1
ENSDARG00000003991,3,0
ENSDARG00000003994,3,0
ENSDARG00000003998,3,0
ENSDARG00000004015,3,0
ENSDARG00000004018,0,1
ENSDARG00000004023,1,1
ENSDARG00000004034,1,0
ENSDARG00000004037,0,1
ENSDARG00000004037,0,2
ENSDARG00000004046,0,1
ENSDARG00000004046,0,2
ENSDARG00000004049,0,0
ENSDARG00000004051,3,0
ENSDARG00000004055,2,0
ENSDARG00000004059,2,0
ENSDARG00000004059,2,2
ENSDARG00000004060,1,1
ENSDARG00000004060,1,1
ENSDARG00000004074,1,1
ENSDARG00000004078,0,0
ENSDARG00000004078,0,0
ENSDARG00000004082,1,1
ENSDARG00000004094,3,0
ENSDARG00000004105,1,1
ENSDARG00000004105,1,1
ENSDARG00000004114,0,0
ENSDARG00000004114,0,0
ENSDARG00000004131,2,1
ENSDARG00000004132,2,1
ENSDARG00000004141,3,0
ENSDARG00000004150,3,0
ENSDARG00000004151,2,0
ENSDARG00000004151,2,2
ENSDARG00000004154,2,1
ENSDARG00000004158,3,0
ENSDARG00000004160,0,1
ENSDARG00000004160,0,1
ENSDARG00000004169,0,0
ENSDARG00000004171,0,0
ENSDARG00000004171,0,0
ENSDARG00000004174,0,0
ENSDARG00000004177,2,0
ENSDARG00000004184,2,1
ENSDARG00000004187,3,1
ENSDARG00000004189,0,1
ENSDARG00000004189,0,2
ENSDARG00000004196,1,1
ENSDARG00000004196,1,0
ENSDARG00000004199,1,1
ENSDARG00000004204,1,1
ENSDARG00000004204,1,0
ENSDARG00000004219,3,1
ENSDARG00000004227,1,0
ENSDARG00000004232,1,1
ENSDARG00000004232,1,1
ENSDARG00000004243,3,0
ENSDARG00000004246,1,1
ENSDARG00000004246,1,0
ENSDARG00000004251,0,0
ENSDARG00000004256,0,0
ENSDARG00000004256,0,0
ENSDARG00000004260,2,1
ENSDARG00000004262,3,0
ENSDARG00000004274,0,1
ENSDARG00000004280,0,0
ENSDARG00000004282,1,1
ENSDARG00000004282,1,1
ENSDARG00000004291,3,1
ENSDARG00000004296,1,1
ENSDARG00000004296,1,1
ENSDARG00000004297,1,0
ENSDARG00000004301,1,1
ENSDARG00000004302,3,1
ENSDARG00000004305,3,1
ENSDARG00000004306,2,1
ENSDARG00000004307,1,1
ENSDARG00000004307,1,1
ENSDARG00000004308,0,-1
ENSDARG00000004318,1,0
ENSDARG00000004322,3,1
ENSDARG00000004325,2,1
ENSDARG00000004328,0,0
ENSDARG00000004336,2,0
ENSDARG00000004343,0,1
ENSDARG00000004343,0,2
ENSDARG00000004358,3,0
ENSDARG00000004363,1,1
ENSDARG00000004363,1,0
ENSDARG00000004372,1,1
ENSDARG00000004372,1,0
ENSDARG00000004377,1,0
ENSDARG00000004378,1,1
ENSDARG00000004378,1,1
ENSDARG00000004386,1,1
ENSDARG00000004396,2,1
ENSDARG00000004396,2,1
ENSDARG00000004402,1,1
ENSDARG00000004402,1,1
ENSDARG00000004405,2,1
ENSDARG00000004406,1,1
ENSDARG00000004406,1,0
ENSDARG00000004415,1,1
ENSDARG00000004415,1,1
ENSDARG00000004427,0,0
ENSDARG00000004433,0,1
ENSDARG00000004436,0,0
ENSDARG00000004445,3,0
ENSDARG00000004447,0,0
ENSDARG00000004451,1,1
ENSDARG00000004452,0,0
ENSDARG00000004455,1,1
ENSDARG00000004455,1,1
ENSDARG00000004459,3,1
ENSDARG00000004460,2,1
ENSDARG00000004472,3,1
ENSDARG00000004473,3,0
ENSDARG00000004492,2,0
ENSDARG00000004497,1,0
ENSDARG00000004498,3,1
ENSDARG00000004502,2,1
ENSDARG00000004517,0,0
ENSDARG00000004525,0,1
ENSDARG00000004525,0,2
ENSDARG00000004527,1,1
ENSDARG00000004527,1,1
ENSDARG00000004529,2,1
ENSDARG00000004537,0,1
ENSDARG00000004539,1,1
ENSDARG00000004539,1,1
ENSDARG00000004561,3,0
ENSDARG00000004574,2,1
ENSDARG00000004576,0,0
ENSDARG00000004577,3,0
ENSDARG00000004580,1,1
ENSDARG00000004581,2,0
ENSDARG00000004586,1,1
ENSDARG00000004588,1,1
ENSDARG00000004588,1,1
ENSDARG00000004592,3,0
ENSDARG00000004594,0,1
ENSDARG00000004594,0,2
ENSDARG00000004597,3,0
ENSDARG00000004616,0,0
ENSDARG00000004618,3,0
ENSDARG00000004621,1,1
ENSDARG00000004627,3,1
ENSDARG00000004632,0,1
ENSDARG00000004633,3,0
ENSDARG00000004634,2,0
ENSDARG00000004634,2,2
ENSDARG00000004635,1,1
ENSDARG00000004635,1,0
ENSDARG00000004636,2,0
ENSDARG00000004636,2,2
ENSDARG00000004643,3,0
ENSDARG00000004647,2,1
ENSDARG00000004648,3,0
ENSDARG00000004658,1,1
ENSDARG00000004658,1,1
ENSDARG00000004672,1,0
ENSDARG00000004680,2,1
ENSDARG00000004692,0,1
ENSDARG00000004695,1,1
ENSDARG00000004695,1,1
ENSDARG00000004697,1,1
ENSDARG00000004697,1,0
ENSDARG00000004702,3,1
ENSDARG00000004706,2,0
ENSDARG00000004706,2,2
ENSDARG00000004712,1,0
ENSDARG00000004713,0,1
ENSDARG00000004714,1,1
ENSDARG00000004714,1,0
ENSDARG00000004721,2,0
