GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000073724,0.852,0.74,0.104,0.472,2.12,0.342,0.276,0.0526,0.085,1.94
ENSDARG00000073728,0.164,1.15,0.366,0.653,4.85,0.0717,0.678,0.341,0.106,7.3
ENSDARG00000073731,0.32,1.51,0.132,0.611,4.32,0.16,0.771,0.0948,0.104,4.16
ENSDARG00000073732,1.04,1.59,0.155,0.304,2.79,0.344,0.848,0.0578,0.061,0.818
ENSDARG00000073735,0.0859,1.46,0.103,0.174,2.25,0.0244,0.0473,0.0399,0.0304,0.764
ENSDARG00000073737,7.31,0.544,0.19,0.342,1.67,2.75,0.311,0.0704,0.0727,1.28
ENSDARG00000073738,0.497,1.15,0.113,0.726,2.61,0.205,0.414,0.0645,0.122,2.08
ENSDARG00000073741,0.712,1.08,0.27,0.48,1.07,0.34,0.581,0.142,0.0907,0.737
ENSDARG00000073742,208.0,1.45,0.0566,0.379,70.0,91.0,0.827,0.0383,0.0696,1.36
ENSDARG00000073743,0.0603,1.2,0.0978,0.429,2.31,0.0285,0.222,0.0567,0.0815,2.04
ENSDARG00000073744,0.752,1.63,0.159,0.522,1.0,0.338,0.869,0.099,0.0942,0.731
ENSDARG00000073747,1.34,1.23,0.108,0.653,41.0,0.668,0.692,0.0875,0.116,8.78
ENSDARG00000073750,47.0,1.21,0.0433,0.366,29.4,15.7,0.723,0.0234,0.0757,0.332
ENSDARG00000073752,0.236,1.24,0.286,0.402,1.23,0.117,0.885,0.203,0.0659,1.32
ENSDARG00000073753,1.75,1.49,0.264,0.628,1.33,0.699,0.81,0.123,0.108,0.667
ENSDARG00000073756,1.25,1.04,0.222,0.46,0.974,0.47,0.555,0.0883,0.0933,0.634
ENSDARG00000073757,0.131,1.59,0.069,0.262,22.6,0.0852,0.842,0.0624,0.0609,12.7
ENSDARG00000073761,0.465,1.71,0.161,0.247,1.94,0.16,0.177,0.0628,0.0501,1.22
ENSDARG00000073764,1.02,1.56,0.0864,0.371,50.1,0.503,0.832,0.0533,0.069,7.2
ENSDARG00000073765,2.79,1.27,0.157,0.995,0.915,1.25,0.716,0.0769,0.192,0.582
ENSDARG00000073766,1.53,1.82,0.0753,0.632,16.1,0.294,0.178,0.0337,0.404,6.61
ENSDARG00000073769,0.125,1.25,0.199,0.351,1.3,0.0608,0.667,0.108,0.0705,1.29
ENSDARG00000073771,0.599,1.52,0.174,0.951,1.58,0.296,0.79,0.118,0.157,1.99
ENSDARG00000073773,0.98,1.9,0.153,0.362,1.63,0.292,0.48,0.051,0.0739,0.99
ENSDARG00000073784,0.214,0.883,0.125,0.4,3.6,0.121,0.339,0.0951,0.0766,3.63
ENSDARG00000073786,0.985,1.4,0.0876,0.451,5.23,0.484,0.765,0.0505,0.0809,2.3
ENSDARG00000073787,0.0319,0.802,0.104,0.418,3.13,0.0156,0.0651,0.0825,0.0762,2.96
ENSDARG00000073789,0.0673,1.73,0.155,0.317,2.65,0.031,0.408,0.0927,0.0584,2.32
ENSDARG00000073792,0.467,1.48,0.159,0.701,4.42,0.242,0.801,0.123,0.119,5.14
ENSDARG00000073799,0.0674,1.59,0.0843,1.16,4.85,0.0306,0.0669,0.0196,0.249,2.91
ENSDARG00000073801,3.35,1.36,0.267,0.673,0.688,1.43,0.744,0.122,0.14,0.413
ENSDARG00000073802,0.184,1.41,0.0707,0.22,32.0,0.0978,0.718,0.0455,0.0458,5.64
ENSDARG00000073808,0.228,1.25,0.237,0.295,0.994,0.09,0.742,0.0973,0.0651,0.646
ENSDARG00000073810,0.475,1.58,0.111,0.218,16.8,0.0359,0.0243,0.0267,0.0271,0.884
ENSDARG00000073813,0.43,1.19,0.147,0.385,1.5,0.16,0.451,0.0647,0.071,1.12
ENSDARG00000073814,0.338,2.66,0.103,0.53,7.65,0.16,0.703,0.0649,0.0962,3.77
ENSDARG00000073820,0.249,1.6,0.119,0.241,51.7,0.115,0.825,0.064,0.0479,7.85
ENSDARG00000073821,0.0506,1.53,0.132,0.58,2.23,0.0274,0.806,0.12,0.1,2.75
ENSDARG00000073822,0.186,1.51,0.0925,0.374,6.46,0.105,0.789,0.0725,0.0739,5.0
ENSDARG00000073824,0.423,1.62,0.118,0.406,25.3,0.227,0.0491,0.111,0.081,12.7
ENSDARG00000073837,2.27,0.92,0.17,0.467,1.44,0.873,0.376,0.0699,0.0883,1.07
ENSDARG00000073841,0.34,0.828,0.0629,0.269,1.85,0.139,0.384,0.0378,0.0609,1.39
ENSDARG00000073843,0.677,0.993,0.0805,0.471,4.93,0.329,0.541,0.0488,0.0914,3.52
ENSDARG00000073845,1.83,1.29,0.224,0.898,7.22,0.947,0.779,0.186,0.158,8.5
ENSDARG00000073847,0.65,1.51,0.185,0.846,0.951,0.182,0.0506,0.0589,0.125,0.278
ENSDARG00000073848,3.31,1.94,0.212,0.172,1.22,0.767,0.524,0.0539,0.0378,0.74
ENSDARG00000073850,0.0911,1.38,0.356,0.63,2.96,0.0444,0.822,0.377,0.116,4.18
ENSDARG00000073857,0.18,1.77,0.0505,0.164,4.12,0.0478,0.888,0.0192,0.0361,1.0
ENSDARG00000073858,1.91,0.527,0.344,0.303,1.85,1.14,0.307,0.203,0.0649,0.912
ENSDARG00000073859,0.23,1.39,0.101,0.223,2.7,0.0933,0.129,0.0512,0.0454,1.68
ENSDARG00000073866,1.23,1.3,0.126,0.745,1.3,0.462,0.667,0.0525,0.137,0.884
ENSDARG00000073867,5.01,1.56,0.263,0.476,0.68,1.45,0.854,0.085,0.096,0.338
ENSDARG00000073869,1.43,1.58,0.112,0.372,3.36,0.475,0.785,0.0408,0.0707,1.45
ENSDARG00000073870,0.934,1.13,0.0738,0.471,1.6,0.32,0.586,0.0374,0.0863,0.85
ENSDARG00000073872,6.48,0.913,0.194,0.279,2.14,2.1,0.278,0.0686,0.0554,1.1
ENSDARG00000073874,14.7,1.81,0.0503,0.322,29.3,4.46,0.179,0.0181,0.0729,0.154
ENSDARG00000073876,0.446,2.09,0.165,0.6,3.34,0.21,0.811,0.105,0.103,2.19
ENSDARG00000073881,1.18,2.86,0.135,0.526,2.33,0.451,1.1,0.063,0.0963,1.18
ENSDARG00000073883,0.945,1.58,0.0247,0.308,20.8,0.511,0.826,0.0243,0.0822,2.44
ENSDARG00000073891,0.36,1.4,0.0768,0.376,19.5,0.195,0.755,0.059,0.0756,3.96
ENSDARG00000073892,0.799,1.28,0.161,0.459,2.12,0.312,0.315,0.0751,0.0825,1.45
ENSDARG00000073893,0.488,1.06,0.146,0.753,1.66,0.224,0.542,0.0854,0.126,1.48
ENSDARG00000073896,0.15,1.61,0.0761,0.0564,53.9,0.06,0.828,0.034,0.0149,4.53
ENSDARG00000073899,0.915,1.29,0.115,0.68,1.67,0.368,0.435,0.0494,0.128,1.18
