GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000111573,0.169,1.32,0.126,1.15,1.77,0.0929,0.736,0.0932,0.189,1.87
ENSDARG00000111574,4.25,0.653,0.115,0.283,1.04,1.67,0.37,0.0556,0.0604,0.58
ENSDARG00000111576,0.102,1.68,0.125,0.309,15.1,0.0494,0.842,0.084,0.0615,8.57
ENSDARG00000111579,0.0198,1.29,0.411,0.219,5.99,0.009,0.45,0.554,0.0379,8.0
ENSDARG00000111580,0.11,1.43,0.587,0.253,5.91,0.0807,0.732,0.677,0.0405,11.6
ENSDARG00000111581,0.143,1.07,0.213,0.55,7.52,0.0722,0.446,0.165,0.095,10.1
ENSDARG00000111582,0.157,1.55,0.126,0.211,11.6,0.0353,0.0448,0.035,0.0417,2.17
ENSDARG00000111583,0.0456,1.56,0.0518,0.119,63.4,0.00795,0.0533,0.0429,0.0648,31.5
ENSDARG00000111584,6.25,1.36,0.423,0.956,2.18,0.861,0.0651,0.126,0.044,0.336
ENSDARG00000111585,0.842,1.55,0.192,0.281,6.86,0.194,0.0642,0.0608,0.0341,0.539
ENSDARG00000111587,1.16,1.73,0.0721,0.294,17.9,0.193,0.147,0.0236,0.0369,0.142
ENSDARG00000111590,0.0507,1.43,0.471,0.858,3.38,0.0285,0.756,0.54,0.135,4.79
ENSDARG00000111591,0.503,1.49,0.0406,0.0773,68.9,0.148,0.823,0.0193,0.0189,0.893
ENSDARG00000111593,7.51,1.44,0.375,0.265,0.54,2.15,0.754,0.118,0.057,0.266
ENSDARG00000111596,2.74,0.481,0.123,0.647,1.95,1.22,0.396,0.0524,0.159,1.54
ENSDARG00000111598,9.46,0.892,0.234,0.586,0.839,3.63,0.565,0.0945,0.13,0.505
ENSDARG00000111600,1.37,1.48,0.203,0.814,1.27,0.801,0.0825,0.133,0.1,0.349
ENSDARG00000111608,0.459,1.5,0.11,0.256,52.7,0.195,0.0418,0.0328,0.158,27.3
ENSDARG00000111610,0.0271,0.389,0.848,0.611,3.39,0.0129,0.0596,0.94,0.111,2.78
ENSDARG00000111611,0.145,2.21,0.177,0.397,16.1,0.0769,0.953,0.144,0.0749,15.7
ENSDARG00000111612,0.636,1.5,0.186,1.05,1.41,0.315,0.0656,0.0931,0.277,0.561
ENSDARG00000111613,0.555,1.41,0.274,0.513,5.96,0.256,0.102,0.161,0.0337,2.69
ENSDARG00000111614,2.56,1.45,0.218,0.721,0.826,0.988,0.787,0.0904,0.15,0.435
ENSDARG00000111618,0.664,1.32,0.289,0.536,53.7,0.276,0.835,0.361,0.104,32.1
ENSDARG00000111619,0.243,0.747,0.164,0.692,1.69,0.114,0.472,0.0873,0.131,1.35
ENSDARG00000111624,0.0227,0.673,0.148,0.348,3.72,0.0111,0.0547,0.205,0.0626,3.81
ENSDARG00000111625,0.164,1.38,0.142,0.586,1.04,0.0496,0.262,0.0536,0.0901,0.641
ENSDARG00000111631,0.0317,1.41,0.158,0.407,2.6,0.0165,0.767,0.13,0.0724,3.14
ENSDARG00000111633,0.399,0.936,0.162,0.634,1.41,0.183,0.502,0.0877,0.112,1.11
ENSDARG00000111636,0.954,0.631,0.226,0.276,1.25,0.383,0.233,0.093,0.057,0.934
ENSDARG00000111638,0.287,1.64,0.0809,0.237,9.15,0.0662,0.119,0.0277,0.0655,3.67
ENSDARG00000111642,0.0585,0.544,0.895,0.799,1.12,0.0237,0.125,0.183,0.122,0.663
ENSDARG00000111647,0.0075,1.03,0.861,0.513,3.1,0.00438,0.678,0.591,0.0865,3.34
ENSDARG00000111648,0.0117,0.959,1.05,1.06,2.46,0.00744,0.398,1.02,0.156,3.6
ENSDARG00000111650,0.155,1.61,0.0477,0.216,31.1,0.0594,0.153,0.021,0.0359,12.1
ENSDARG00000111655,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111657,4.36,1.72,0.117,0.397,14.5,1.89,0.0845,0.0696,0.0243,0.927
ENSDARG00000111659,1.02,1.48,0.276,0.503,0.68,0.427,0.798,0.124,0.11,0.431
ENSDARG00000111667,0.279,1.69,0.0458,0.165,83.0,0.111,0.879,0.0285,0.0347,5.5
ENSDARG00000111668,0.125,1.64,0.132,0.279,1.37,0.0439,0.86,0.0565,0.0555,1.16
ENSDARG00000111669,0.0681,1.39,0.253,0.195,5.0,0.0385,0.514,0.397,0.0442,3.63
ENSDARG00000111672,0.0618,0.911,0.892,0.311,1.99,0.0271,0.471,0.501,0.0365,3.72
ENSDARG00000111675,0.287,1.59,0.12,0.417,19.7,0.171,0.847,0.0963,0.0809,12.7
ENSDARG00000111676,0.411,1.56,0.153,0.379,5.93,0.0845,0.0323,0.0464,0.0725,0.173
ENSDARG00000111680,1.05,1.59,0.137,0.905,2.24,0.453,0.859,0.0778,0.147,1.09
ENSDARG00000111682,0.0611,1.21,0.399,0.336,3.71,0.0351,0.541,0.432,0.0565,4.26
ENSDARG00000111683,0.425,0.79,0.0947,0.881,2.49,0.188,0.453,0.0532,0.151,2.03
ENSDARG00000111685,1.68,0.522,0.156,0.48,1.92,0.68,0.394,0.0654,0.103,1.27
ENSDARG00000111686,0.0522,0.647,0.744,0.528,2.25,0.0163,0.331,0.388,0.0984,4.5
ENSDARG00000111687,0.00467,1.33,0.601,0.229,3.63,0.0022,0.795,0.755,0.0353,5.07
ENSDARG00000111689,0.288,1.18,0.0981,0.331,28.8,0.143,0.587,0.0619,0.0686,7.24
ENSDARG00000111691,1.26,0.476,0.196,0.388,1.38,0.487,0.342,0.075,0.0965,0.89
ENSDARG00000111693,1.01,1.47,0.199,0.887,1.17,0.486,0.766,0.123,0.149,1.07
ENSDARG00000111694,2.44,0.814,0.2,0.665,0.998,1.01,0.543,0.087,0.138,0.637
ENSDARG00000111696,0.525,1.48,0.207,0.656,1.25,0.211,0.111,0.134,0.101,0.537
ENSDARG00000111697,0.626,1.36,0.168,1.08,1.17,0.309,0.745,0.0957,0.188,0.891
ENSDARG00000111699,6.94,0.312,0.155,0.467,1.57,2.93,0.262,0.0618,0.139,1.18
ENSDARG00000111700,0.933,1.56,0.142,0.574,8.31,0.294,0.0413,0.0474,0.132,1.62
ENSDARG00000111701,3.34,0.526,0.191,0.884,1.57,1.62,0.33,0.0963,0.169,1.19
ENSDARG00000111704,0.24,1.54,0.133,0.384,16.3,0.0842,0.0804,0.0624,0.178,11.1
ENSDARG00000111705,0.248,1.95,0.176,0.646,3.24,0.117,0.859,0.115,0.108,3.18
ENSDARG00000111712,0.498,1.58,0.205,0.518,0.72,0.22,0.825,0.101,0.11,0.466
ENSDARG00000111714,0.943,1.6,0.154,0.262,4.37,0.249,0.825,0.0454,0.0562,0.558
ENSDARG00000111716,0.182,1.54,0.125,0.97,1.46,0.102,0.809,0.0832,0.175,1.61
ENSDARG00000111718,0.0391,1.25,0.131,0.442,2.52,0.0194,0.669,0.1,0.0776,2.79
ENSDARG00000111719,0.427,0.955,0.142,0.579,1.38,0.184,0.525,0.0702,0.107,1.04
ENSDARG00000111722,0.939,1.47,0.19,0.474,1.84,0.452,0.0813,0.0984,0.124,0.371
ENSDARG00000111724,0.00617,1.32,0.438,0.18,4.2,0.00364,0.438,0.555,0.0298,3.66
ENSDARG00000111725,0.228,1.56,0.18,0.317,29.9,0.109,0.0875,0.0697,0.0172,17.8
ENSDARG00000111727,1.04,0.815,0.131,0.338,2.01,0.398,0.178,0.0584,0.0638,1.41
ENSDARG00000111730,0.0695,1.58,0.128,0.201,6.31,0.0333,0.813,0.075,0.0401,3.4
ENSDARG00000111731,0.169,1.51,0.159,0.554,1.22,0.0861,0.809,0.0823,0.111,1.05
ENSDARG00000111733,0.181,1.1,0.196,0.369,1.04,0.0886,0.638,0.0996,0.0812,0.84
ENSDARG00000111734,0.00554,0.239,0.592,0.372,7.15,0.00211,0.0176,0.471,0.0568,7.97
ENSDARG00000111736,0.134,1.58,0.072,0.146,12.0,0.0544,0.837,0.0354,0.032,3.13
ENSDARG00000111738,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111743,0.343,1.58,0.138,0.341,0.929,0.113,0.812,0.0577,0.0638,0.607
ENSDARG00000111744,0.0637,0.793,0.309,0.354,4.1,0.0375,0.34,0.284,0.0584,3.88
ENSDARG00000111745,0.102,1.19,0.324,1.31,2.8,0.0433,0.729,0.317,0.202,4.19
ENSDARG00000111746,0.207,0.811,0.0826,1.52,2.13,0.117,0.523,0.0663,0.265,1.9
ENSDARG00000111747,1.76,1.74,0.195,0.286,0.656,0.391,0.917,0.0512,0.0586,0.408
ENSDARG00000111748,1.31,1.7,0.135,0.518,3.98,0.539,0.875,0.0686,0.0923,1.08
ENSDARG00000111753,0.797,0.879,0.502,0.735,1.67,0.344,0.614,0.386,0.129,0.944
ENSDARG00000111756,0.0834,1.57,0.109,0.247,15.0,0.0468,0.827,0.09,0.0518,11.5
ENSDARG00000111757,0.813,0.543,0.139,0.748,1.45,0.373,0.362,0.067,0.153,1.06
ENSDARG00000111759,0.229,1.32,0.142,0.847,1.43,0.117,0.702,0.0881,0.149,1.4
ENSDARG00000111763,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111765,1.4,1.55,0.164,0.291,8.18,0.36,0.0264,0.0571,0.0681,0.35
ENSDARG00000111770,0.106,0.718,0.216,0.659,3.4,0.0532,0.336,0.261,0.113,3.95
ENSDARG00000111773,0.0902,1.51,0.109,0.222,5.08,0.0353,0.0307,0.035,0.025,1.29
ENSDARG00000111778,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111779,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111782,0.143,0.824,0.139,0.335,2.12,0.0613,0.273,0.0708,0.0623,1.86
ENSDARG00000111785,3.98,1.59,0.105,0.653,3.75,1.6,0.838,0.0518,0.114,1.1
ENSDARG00000111788,0.0766,1.45,0.296,1.08,3.15,0.0285,0.0641,0.091,0.207,1.54
ENSDARG00000111791,4.72,1.02,0.203,0.443,1.22,1.61,0.71,0.0739,0.0911,0.696
ENSDARG00000111795,0.056,1.58,0.176,0.172,31.0,0.0285,0.831,0.146,0.0433,18.4
ENSDARG00000111798,0.052,1.36,0.361,0.294,2.24,0.0194,0.0229,0.109,0.0487,1.03
ENSDARG00000111799,0.0651,1.52,0.218,1.03,3.4,0.0106,0.0747,0.231,0.137,1.67
ENSDARG00000111800,0.0537,1.45,0.189,0.211,4.93,0.0131,0.0416,0.0222,0.0217,0.738
ENSDARG00000111801,0.00675,2.28,0.174,0.347,5.03,0.00336,0.866,0.202,0.0616,6.09
ENSDARG00000111805,0.178,1.44,0.187,0.307,3.39,0.0789,0.0538,0.094,0.0575,0.631
ENSDARG00000111808,0.526,0.509,0.155,0.369,2.04,0.247,0.183,0.0793,0.0732,1.64
ENSDARG00000111810,0.197,1.65,0.0471,0.191,12.6,0.0592,0.0787,0.02,0.0237,2.56
ENSDARG00000111817,0.0163,1.73,0.677,0.397,4.51,0.00788,0.792,0.846,0.0588,5.13
ENSDARG00000111818,0.0479,1.55,0.091,0.361,5.81,0.00578,0.0594,0.0288,0.0754,3.57
ENSDARG00000111819,5.44,0.287,0.135,0.421,2.76,2.2,0.11,0.0542,0.0902,2.1
ENSDARG00000111822,0.685,1.44,0.145,0.655,5.18,0.461,0.248,0.113,0.111,3.27
ENSDARG00000111824,0.0861,1.5,0.269,0.8,2.76,0.0473,0.0638,0.224,0.145,1.79
ENSDARG00000111827,1.26,1.59,0.151,0.272,13.3,0.584,0.0289,0.0638,0.0305,1.77
ENSDARG00000111828,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111829,0.175,1.4,0.0757,0.347,8.41,0.0994,0.756,0.0559,0.0681,6.48
ENSDARG00000111831,0.00857,1.09,1.03,1.38,2.37,0.00604,0.717,1.01,0.183,4.0
ENSDARG00000111832,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111836,3.56,0.907,0.136,0.926,1.08,1.58,0.547,0.0653,0.179,0.719
ENSDARG00000111837,0.201,1.57,0.0704,0.149,42.2,0.105,0.817,0.0415,0.0334,5.22
ENSDARG00000111838,0.0596,1.54,0.163,0.343,5.23,0.029,0.8,0.127,0.0617,6.48
ENSDARG00000111840,0.113,1.71,0.0552,0.23,35.9,0.0464,0.16,0.0318,0.0527,5.2
ENSDARG00000111842,0.102,1.56,0.0711,0.662,3.01,0.0331,0.0557,0.0237,0.0938,1.05
ENSDARG00000111846,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111850,0.251,1.42,0.16,0.641,1.58,0.116,0.735,0.0943,0.111,1.53
ENSDARG00000111852,0.0345,2.02,0.484,0.311,4.71,0.0151,0.825,0.58,0.0541,6.52
ENSDARG00000111858,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111860,0.458,1.51,0.0974,0.33,2.39,0.182,0.806,0.0522,0.0612,0.82
ENSDARG00000111865,0.213,1.57,0.149,0.355,10.5,0.0955,0.145,0.121,0.0312,6.26
ENSDARG00000111869,0.109,0.745,0.675,0.309,5.42,0.0374,0.548,0.292,0.0788,7.11
ENSDARG00000111871,8.29,1.51,0.203,1.53,0.429,4.16,0.0222,0.0171,0.243,0.29
ENSDARG00000111873,0.135,1.53,0.158,0.742,2.09,0.0298,0.0573,0.0662,0.0971,1.05
ENSDARG00000111875,0.0346,1.31,0.35,0.752,2.52,0.0191,0.795,0.458,0.112,3.47
ENSDARG00000111876,0.768,0.591,0.144,0.349,1.73,0.276,0.154,0.057,0.0678,1.29
ENSDARG00000111877,0.505,0.553,0.134,0.584,1.92,0.213,0.212,0.0629,0.11,1.52
ENSDARG00000111879,0.438,1.44,0.223,0.557,3.82,0.129,0.089,0.0768,0.0305,3.89
ENSDARG00000111880,25.8,1.42,0.21,0.596,0.612,8.83,0.778,0.081,0.128,0.386
ENSDARG00000111881,0.0988,1.57,0.0999,0.19,23.1,0.0328,0.0871,0.0337,0.142,13.0
ENSDARG00000111884,0.0749,0.561,0.0764,0.602,3.1,0.0337,0.123,0.0477,0.11,2.74
ENSDARG00000111891,0.153,1.56,0.144,0.47,1.45,0.071,0.824,0.0848,0.0856,1.58
ENSDARG00000111892,0.0793,4.47,0.166,0.26,26.6,0.0414,1.36,0.146,0.0655,21.9
ENSDARG00000111896,2.34,1.71,0.28,0.514,24.9,1.23,0.106,0.386,0.231,12.3
ENSDARG00000111898,1.26,0.268,0.122,0.537,1.92,0.564,0.177,0.0523,0.14,1.66
ENSDARG00000111899,1.31,1.48,0.123,1.47,0.988,0.664,0.787,0.0719,0.262,0.672
ENSDARG00000111900,0.146,1.44,0.219,0.526,1.35,0.0676,0.0791,0.114,0.12,0.516
ENSDARG00000111906,0.0493,1.3,0.149,0.234,1.69,0.0223,0.704,0.0802,0.0476,1.53
ENSDARG00000111907,0.851,0.671,0.133,0.741,1.53,0.387,0.359,0.0685,0.136,1.19
ENSDARG00000111910,1.49,0.804,0.115,1.14,1.38,0.715,0.485,0.0615,0.204,1.01
ENSDARG00000111914,6.36,1.23,0.134,0.692,1.53,2.21,0.717,0.0532,0.126,0.907
ENSDARG00000111916,16.1,1.37,0.438,0.315,0.575,4.77,0.0395,0.162,0.0481,0.224
ENSDARG00000111917,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111918,0.201,1.43,0.251,0.497,1.61,0.0352,0.0489,0.0472,0.0528,0.463
ENSDARG00000111919,0.254,1.51,0.0573,0.122,14.3,0.0502,0.819,0.0148,0.0283,1.01
ENSDARG00000111920,5.18,1.61,0.0631,0.594,20.0,3.11,0.847,0.059,0.127,2.98
ENSDARG00000111924,0.0883,1.12,0.583,0.412,2.56,0.0305,0.735,0.392,0.0528,3.22
ENSDARG00000111925,0.147,1.68,0.148,0.404,22.4,0.0733,0.605,0.126,0.0821,15.6
ENSDARG00000111932,0.138,1.5,0.16,0.176,39.8,0.0938,0.0617,0.101,0.126,22.3
ENSDARG00000111934,0.509,0.712,0.166,0.64,1.34,0.226,0.461,0.0788,0.13,0.876
ENSDARG00000111937,0.0508,1.55,0.111,0.21,6.58,0.026,0.839,0.0842,0.0425,7.57
ENSDARG00000111939,102.0,1.52,0.278,0.575,3.06,39.3,0.817,0.117,0.135,0.382
ENSDARG00000111940,0.763,1.39,0.347,0.528,1.15,0.084,0.0549,0.0662,0.106,0.899
ENSDARG00000111941,0.0117,0.57,0.498,0.571,3.63,0.00566,0.12,0.651,0.086,4.59
ENSDARG00000111942,0.468,1.3,0.0763,0.3,17.6,0.196,0.684,0.0394,0.0569,2.94
ENSDARG00000111945,0.627,1.31,0.486,0.285,0.702,0.332,0.831,0.295,0.0627,0.362
ENSDARG00000111947,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111948,0.69,0.609,0.106,0.805,1.79,0.301,0.439,0.0494,0.167,1.27
ENSDARG00000111957,0.296,1.65,0.0735,0.45,15.7,0.151,0.177,0.0386,0.183,9.97
ENSDARG00000111959,0.986,1.43,0.25,0.374,1.96,0.308,0.0754,0.112,0.0757,0.797
ENSDARG00000111962,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111963,0.229,1.47,0.146,0.853,1.54,0.114,0.783,0.0948,0.146,1.77
ENSDARG00000111964,0.0678,1.28,0.0991,1.1,2.43,0.0399,0.723,0.0933,0.177,2.93
ENSDARG00000111965,0.193,1.61,0.148,0.393,1.74,0.072,0.844,0.0665,0.0707,1.26
ENSDARG00000111974,0.883,1.07,0.143,0.82,1.17,0.394,0.59,0.0717,0.151,0.822
ENSDARG00000111977,0.723,2.11,0.0316,0.159,18.3,0.165,0.172,0.00999,0.0177,1.61
ENSDARG00000111978,0.735,1.8,0.198,0.363,1.47,0.249,0.659,0.0739,0.0704,0.979
ENSDARG00000111979,0.172,1.45,0.223,0.939,1.52,0.0892,0.822,0.324,0.188,1.53
ENSDARG00000111980,0.148,1.04,0.16,0.412,24.5,0.0738,0.484,0.146,0.0872,17.1
ENSDARG00000111982,1.32,1.41,0.187,0.711,0.773,0.576,0.753,0.0883,0.145,0.477
ENSDARG00000111983,0.285,1.48,0.191,0.403,1.36,0.0294,0.0372,0.0397,0.0337,0.881
ENSDARG00000111984,0.19,1.47,0.194,0.951,1.9,0.0681,0.0641,0.0945,0.118,1.45
ENSDARG00000111985,0.582,1.46,0.236,0.849,1.19,0.179,0.0406,0.0241,0.21,0.535
ENSDARG00000111986,0.215,1.58,0.16,0.274,2.27,0.0824,0.445,0.0704,0.0524,1.39
ENSDARG00000111989,2.11,1.42,0.0992,0.972,1.9,0.876,0.825,0.0497,0.165,1.33
ENSDARG00000111992,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000111996,0.396,0.476,0.0613,1.7,3.1,0.208,0.28,0.0611,0.338,3.02
ENSDARG00000111997,0.0536,1.6,0.0372,0.109,27.5,0.0193,0.086,0.0112,0.0314,13.3
ENSDARG00000111998,0.6,1.49,0.228,1.41,1.28,0.313,0.821,0.331,0.282,0.887
ENSDARG00000111999,0.328,0.917,0.162,0.433,2.33,0.172,0.448,0.108,0.0794,2.22
ENSDARG00000112000,0.664,1.56,0.0801,0.275,3.01,0.196,0.756,0.0323,0.0541,0.992
ENSDARG00000112002,7.44,1.43,0.163,0.692,0.884,2.48,0.784,0.0622,0.139,0.506
ENSDARG00000112005,0.042,1.19,0.936,0.443,5.0,0.0163,0.376,0.733,0.0729,5.62
ENSDARG00000112010,2.47,0.972,0.116,0.585,2.01,0.882,0.198,0.047,0.108,1.4
ENSDARG00000112011,0.208,1.49,0.142,0.541,4.68,0.102,0.0205,0.0829,0.104,1.8
ENSDARG00000112017,37.5,1.59,0.308,0.57,4.03,15.0,0.87,0.137,0.12,0.344
ENSDARG00000112018,0.209,1.49,0.125,0.349,24.0,0.0771,0.0252,0.0435,0.219,20.2
ENSDARG00000112019,0.0813,1.56,0.0999,0.147,13.8,0.0449,0.0599,0.058,0.03,4.64
ENSDARG00000112020,0.498,1.54,0.0761,0.342,0.976,0.132,0.0143,0.0169,0.0313,0.514
ENSDARG00000112025,0.126,1.32,0.189,0.777,2.17,0.0647,0.707,0.135,0.13,3.2
ENSDARG00000112027,0.128,1.4,0.2,0.261,3.68,0.0427,0.0585,0.0923,0.0423,2.33
ENSDARG00000112028,0.0733,1.5,0.148,0.168,21.4,0.0409,0.0938,0.0732,0.0182,10.6
ENSDARG00000112030,0.508,1.73,0.0751,0.296,5.06,0.219,0.342,0.0437,0.06,1.45
ENSDARG00000112031,1.99,0.389,0.189,0.303,1.35,0.79,0.219,0.0776,0.0673,0.854
ENSDARG00000112034,0.143,1.12,0.334,0.409,10.3,0.0745,0.793,0.25,0.0857,14.5
ENSDARG00000112035,0.422,1.49,0.144,0.438,3.73,0.18,0.444,0.071,0.0775,2.11
ENSDARG00000112037,0.595,1.53,0.173,0.706,0.963,0.25,0.827,0.0785,0.14,0.623
ENSDARG00000112041,0.249,1.51,0.0982,0.378,4.35,0.113,0.617,0.0563,0.0679,2.48
ENSDARG00000112043,0.0123,1.53,0.243,1.32,4.25,0.00297,0.0783,0.236,0.0612,1.09
ENSDARG00000112045,0.864,1.6,0.122,0.212,3.41,0.197,0.858,0.0322,0.0454,0.602
ENSDARG00000112046,0.283,1.4,0.153,0.619,2.48,0.139,0.733,0.107,0.107,3.35
ENSDARG00000112049,0.122,1.86,0.0359,0.317,16.4,0.0235,0.148,0.0126,0.0308,6.17
ENSDARG00000112051,0.42,1.46,0.141,0.246,6.0,0.209,0.0479,0.0608,0.0439,1.21
ENSDARG00000112053,0.0759,0.655,0.0635,0.202,12.8,0.0449,0.214,0.057,0.0547,7.38
ENSDARG00000112054,2.33,0.815,0.228,0.459,0.92,0.972,0.401,0.102,0.0937,0.567
ENSDARG00000112056,0.144,1.53,0.0516,0.206,7.32,0.0491,0.831,0.0232,0.044,2.76
ENSDARG00000112061,0.302,1.57,0.11,1.22,1.4,0.159,0.832,0.0687,0.216,1.21
ENSDARG00000112062,0.0922,0.932,0.275,0.4,4.65,0.0447,0.239,0.182,0.0722,7.51
ENSDARG00000112064,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112070,0.894,1.52,0.139,0.968,1.65,0.471,0.0529,0.0622,0.319,1.23
ENSDARG00000112073,0.716,1.57,0.117,0.601,4.97,0.442,0.0379,0.0769,0.116,3.67
ENSDARG00000112077,0.432,0.424,0.123,0.87,3.63,0.198,0.128,0.0713,0.155,3.45
ENSDARG00000112079,0.138,0.457,0.274,0.75,4.04,0.0561,0.0882,0.268,0.118,4.21
ENSDARG00000112080,6.75,1.69,0.116,0.897,14.1,1.14,0.156,0.0469,0.216,6.98
ENSDARG00000112084,0.573,1.2,0.142,0.619,2.64,0.245,0.564,0.0781,0.106,2.04
ENSDARG00000112085,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112087,19.4,1.34,0.191,0.868,0.741,8.04,0.737,0.0867,0.182,0.471
ENSDARG00000112089,0.197,2.37,0.117,1.01,3.39,0.09,0.876,0.0873,0.161,2.92
ENSDARG00000112092,1.64,0.444,0.12,0.684,1.56,0.7,0.289,0.0529,0.154,1.2
ENSDARG00000112094,0.0727,1.56,0.1,0.15,8.5,0.039,0.0951,0.0687,0.0338,3.96
ENSDARG00000112095,0.037,1.38,0.465,0.301,5.15,0.0145,0.592,0.528,0.0642,5.8
ENSDARG00000112096,1.06,0.755,0.169,0.398,1.94,0.385,0.16,0.0656,0.0758,1.37
ENSDARG00000112097,3.17,0.937,0.114,0.251,1.96,0.944,0.267,0.0413,0.0489,1.14
ENSDARG00000112099,0.526,1.14,0.195,0.314,1.79,0.208,0.141,0.082,0.0619,1.19
ENSDARG00000112100,0.4,1.6,0.0742,0.416,30.8,0.172,0.0839,0.0257,0.0498,8.99
ENSDARG00000112102,0.123,1.49,0.112,0.209,8.24,0.043,0.0172,0.0668,0.0425,3.12
ENSDARG00000112103,0.0788,1.54,0.2,0.822,3.87,0.0276,0.0893,0.0895,0.231,4.1
ENSDARG00000112104,0.248,1.63,0.118,0.133,19.6,0.0743,0.0579,0.0367,0.00645,1.06
ENSDARG00000112105,0.044,1.52,0.224,1.18,7.82,0.016,0.103,0.093,0.115,6.07
ENSDARG00000112107,0.16,1.3,0.143,0.656,2.58,0.0725,0.54,0.0881,0.11,2.23
ENSDARG00000112110,0.195,2.49,0.117,0.447,2.77,0.083,0.872,0.0682,0.0824,2.17
ENSDARG00000112111,0.0508,1.17,0.668,0.337,2.76,0.0203,0.754,0.536,0.0584,4.55
ENSDARG00000112112,0.197,1.45,0.0865,0.406,30.6,0.0474,0.0239,0.0413,0.217,27.8
ENSDARG00000112115,0.065,1.36,0.318,0.441,3.82,0.0323,0.884,0.313,0.0662,3.93
ENSDARG00000112122,0.147,1.6,0.114,0.177,3.63,0.0573,0.846,0.0508,0.0362,1.55
ENSDARG00000112126,0.0527,1.56,0.157,1.29,4.06,0.0125,0.0429,0.0801,0.46,3.5
ENSDARG00000112127,1.52,0.557,0.144,0.727,1.43,0.706,0.324,0.072,0.14,1.1
ENSDARG00000112130,4.87,1.77,0.145,0.437,0.86,1.35,0.946,0.0514,0.082,0.582
ENSDARG00000112131,0.0351,1.55,0.16,0.755,4.22,0.0137,0.0738,0.0646,0.171,4.13
ENSDARG00000112132,0.15,1.39,0.301,0.206,1.73,0.0596,0.0576,0.114,0.0148,0.445
ENSDARG00000112133,0.0681,1.37,0.578,0.974,2.65,0.029,0.676,0.739,0.137,4.05
ENSDARG00000112134,0.144,1.6,0.073,0.233,7.52,0.0822,0.0507,0.0494,0.0218,1.95
ENSDARG00000112135,0.103,1.41,0.29,0.637,2.36,0.0386,0.0617,0.0902,0.153,1.64
ENSDARG00000112136,0.0607,0.853,0.09,0.863,2.44,0.0344,0.561,0.0842,0.159,2.38
ENSDARG00000112138,0.176,1.65,0.144,0.365,4.26,0.0754,0.856,0.0756,0.0671,2.14
ENSDARG00000112140,0.582,1.23,0.102,1.41,1.43,0.297,0.708,0.0616,0.241,1.11
ENSDARG00000112141,1.61,1.58,0.337,0.291,0.562,0.462,0.85,0.106,0.0656,0.287
ENSDARG00000112143,0.252,0.814,0.113,0.447,4.8,0.134,0.182,0.0826,0.0834,3.98
ENSDARG00000112144,2.49,1.43,0.245,0.523,0.677,0.887,0.793,0.0939,0.117,0.369
ENSDARG00000112145,2.56,1.17,0.351,0.622,0.59,1.46,0.824,0.223,0.163,0.439
ENSDARG00000112150,0.146,1.0,0.725,0.67,3.02,0.0655,0.694,0.471,0.137,4.41
ENSDARG00000112152,0.143,1.46,0.121,0.768,1.48,0.0772,0.776,0.0763,0.141,1.61
ENSDARG00000112157,0.0887,1.52,0.127,0.333,2.91,0.0367,0.313,0.0698,0.0609,2.37
ENSDARG00000112159,0.0624,1.5,0.137,0.273,3.99,0.0221,0.109,0.0695,0.0403,2.21
ENSDARG00000112162,0.00922,1.42,0.281,0.568,3.38,0.00391,0.0888,0.143,0.0673,1.36
ENSDARG00000112165,0.609,1.63,0.132,0.315,2.19,0.175,0.847,0.0429,0.0618,0.922
ENSDARG00000112168,0.167,1.52,0.104,0.247,2.55,0.0504,0.796,0.0376,0.0481,1.49
